name,ID,area,travel depth: median,travel depth: MAD,travel depth: mean,travel depth: SD,travel depth: skew,travel depth: kurtosis,travel depth: 25%,travel depth: 75%,geodesic depth: median,geodesic depth: MAD,geodesic depth: mean,geodesic depth: SD,geodesic depth: skew,geodesic depth: kurtosis,geodesic depth: 25%,geodesic depth: 75%,mean curvature: median,mean curvature: MAD,mean curvature: mean,mean curvature: SD,mean curvature: skew,mean curvature: kurtosis,mean curvature: 25%,mean curvature: 75%,freesurfer curvature: median,freesurfer curvature: MAD,freesurfer curvature: mean,freesurfer curvature: SD,freesurfer curvature: skew,freesurfer curvature: kurtosis,freesurfer curvature: 25%,freesurfer curvature: 75%,freesurfer thickness: median,freesurfer thickness: MAD,freesurfer thickness: mean,freesurfer thickness: SD,freesurfer thickness: skew,freesurfer thickness: kurtosis,freesurfer thickness: 25%,freesurfer thickness: 75%,freesurfer convexity (sulc): median,freesurfer convexity (sulc): MAD,freesurfer convexity (sulc): mean,freesurfer convexity (sulc): SD,freesurfer convexity (sulc): skew,freesurfer convexity (sulc): kurtosis,freesurfer convexity (sulc): 25%,freesurfer convexity (sulc): 75%,mean position: x,mean position: y,mean position: z,mean position in standard space: x,mean position in standard space: y,mean position in standard space: z
frontomarginal sulcus,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superior frontal sulcus,1,100.420659,8.18676,4.348140000000001,9.04398011185295,4.985808483188548,-0.8700780711350561,-1.2995824611844902,4.641015,13.2612,9.59201,4.515339999999999,10.290666342139458,5.129229208533196,-0.847465651562419,-1.3060787986335953,5.6868925,14.908,1.78887,2.0339600000000004,1.2640593699026375,3.2665883405308116,-1.5727444547308462,0.41209940783816057,-0.883183,3.62307,0.12480486556887627,0.05846082791686058,0.06836123055013056,0.17159416406098243,-2.4498543500231325,4.524660266416238,0.01390733290463686,0.17299184575676918,2.338608145713806,0.3049654960632324,2.337396703161288,0.4659802884306197,0.6305470106888083,0.5221422008132213,2.036285936832428,2.6438496708869934,0.4426601231098175,0.3707372695207596,0.4407769173571565,0.45496424508317107,-0.9109759419483442,-0.9700750490516907,0.06883279979228973,0.8129869848489761,-17.609224876483996,38.86120266592628,50.718647730601084,-23.326625791891978,36.41431010833783,32.74262949738129
inferior frontal sulcus,2,61.35417280000001,9.92618,4.127419999999999,10.975428740226075,5.660706347827704,-0.28124177569625886,-0.8698358085401088,6.409504999999999,14.8782,11.3963,4.61202,12.317262550592192,6.169464365931532,-0.28549462170540285,-0.8948663705210915,7.48584,16.9104,1.91499,1.092125,2.2781429093127397,1.7864329861010677,-0.29871983977702143,-0.8197373723860326,1.09633,3.61205,0.15020431578159332,0.03657370060682297,0.13405532347390997,0.07234961651455266,-1.932761375339381,2.9414697131053584,0.09957920014858246,0.17617664486169815,2.1959619522094727,0.2905542850494385,2.2027554461567274,0.4189686974168728,0.07896517010297079,-0.038286138660629465,1.8994288444519043,2.484453797340393,0.3376891613006592,0.41032272577285767,0.3856675166549043,0.5740827757450537,-0.5368807708890433,-1.0941334286539748,-0.06299736350774765,0.8200672268867493,-28.24073945591023,50.52688636946366,31.772694267039736,-35.29478495584895,37.67081216882663,7.5116561856199695
precentral sulcus,3,150.4690165,11.4916,5.19064,12.10801948702618,6.37304469749187,-0.2181368694287848,-1.14887916818701,6.56429,17.2881,13.2797,5.58924,14.288953299940921,7.202544904296469,0.19326356850370055,-0.9134679163260739,7.95518,19.7229,0.97994,2.89457,-0.26283368300191084,4.741115081167889,-1.523974480067372,-0.3030565565072365,-3.63229,3.01828,0.10147450119256973,0.08426427096128464,0.01761725621949389,0.20546644401596204,-1.7095710416565362,0.23244001952336557,-0.15592414140701294,0.1614343822002411,2.510688304901123,0.37326478958129883,2.5722873480743425,0.5452562404538092,1.1189461865892487,0.5054265739099071,2.168501853942871,2.9020843505859375,0.16143816709518433,0.45951443910598755,0.17369453498681717,0.7751566438786556,-1.2487653593041985,-0.6055269873166154,-0.2526404559612274,0.6609005928039551,-32.023059106385226,9.298195681483584,38.56961335544086,-37.78756753904728,2.752119427613938,35.30737593523286
central sulcus,4,99.3029756,10.6058,4.7048000000000005,10.801754980353742,5.751282199060043,-0.48494902394940687,-1.0952004579447934,5.75054,14.870000000000001,11.8766,4.9968,11.656347716105286,5.8912302517260215,-0.5103732754465453,-1.1487731467393334,6.28393,16.0471,2.55417,1.30611,2.493898086495305,2.7713878078262852,-1.7596574027812055,2.581896654468058,1.52461,4.24968,0.12892790138721466,0.049282386898994446,0.08911372464044537,0.1388199426959669,-2.665455230915606,5.768108561743835,0.06986415386199951,0.16829004883766174,1.7232623100280762,0.41514742374420166,1.8197888064690912,0.5685033425419913,0.567715360477259,-0.8259237092665197,1.327747404575348,2.242745876312256,0.5880043506622314,0.36410874128341675,0.569448299532409,0.5539647670575626,-1.02580565444781,-0.20957817044708849,0.23057326674461365,0.9558646082878113,-34.90372069993342,-14.570621006814132,41.059317159462736,-39.97088073551226,-18.18064836928304,49.92646952367628
postcentral sulcus,5,82.7430992,8.35831,3.43619,9.42001258208194,5.002840960646813,-0.12501686378675123,-0.9729458159746356,5.3156,12.589,9.60898,3.8132199999999994,10.453504873298883,5.318935405821296,-0.2083643691327618,-1.0964614812868216,5.90012,13.8065,2.1086,1.09319,2.16643703661504,1.7117484329286567,-0.5943168348658405,-0.6006721112224733,1.01541,3.20735,0.15642501413822174,0.043649882078170776,0.14153528553039205,0.07714047723244317,-1.7980255787992563,2.6133917599728083,0.09633303433656693,0.19297190010547638,2.0259552001953125,0.2957172393798828,2.065155732668798,0.48478636179132056,0.18527418754742148,0.17741470996545994,1.7436583042144775,2.3308823108673096,0.33898577094078064,0.37692270055413246,0.3402765611592967,0.47551861930230305,-0.6948080687448301,-0.9151017680306746,-0.014031774364411831,0.7174879312515259,-39.134931754387146,-23.177047457983484,32.63582672852214,-44.12899819408187,-30.289676493221,45.70505327750001
intraparietal sulcus,6,124.8841224,10.4479,4.594180000000001,11.386386535511507,6.515189325373172,-0.4864747550770916,-1.1712456724517848,6.39511,15.4755,11.0667,4.6159,12.598454377476452,6.787456976924365,-0.43907307259553124,-1.1401104936668351,7.60541,16.784149999999997,2.15833,1.75882,1.7485041446895337,3.2541705339874527,-1.5617441380925674,0.6401658609184158,0.449063,3.95524,0.1398312970995903,0.0495406836271286,0.09778222569048203,0.12564018157996834,-2.196401709622621,3.0755835986423063,0.05049154441803694,0.17942626774311066,2.000861883163452,0.27888989448547363,2.011537908649877,0.4187098760809055,0.2917063146971829,0.13953354956265018,1.7001990973949432,2.264926314353943,0.41091564297676086,0.4991440623998642,0.4725226536870075,0.629290173790487,-0.8232659968719149,-1.0918826149575256,-0.03016098402440548,0.985887348651886,-26.17914661608244,-46.74996846349616,18.849086765160685,-28.44447507900453,-57.84346941100224,43.70878511707569
primary intermediate sulcus/1st segment of post. sup. temporal sulcus,7,44.496025599999996,15.3503,4.349399999999999,15.420834061783266,5.6380462995808545,-0.8711044529871781,-0.5367464322876789,11.4321,20.5214,16.4314,3.7390000000000008,16.92487855555194,6.204151742652667,-0.6828407881633407,-0.3945820916744225,12.972,21.77245,2.71496,2.07856,2.45460211607024,2.6895508150459313,-0.9967985567607808,-0.6877236905702575,0.0798293,4.57415,0.14875337481498718,0.052993759512901306,0.12108702847655364,0.10147113073478915,-1.7672590742816954,1.210021766081371,0.06499786674976349,0.19596780836582184,2.1593222618103027,0.43672072887420654,2.226196662999465,0.6164557169967069,0.5321751073696017,0.39548853601425726,1.7590372562408447,2.6847808361053467,0.748155415058136,0.346687376499176,0.7659613295431771,0.4943242911882209,-0.943451322536759,-0.25644692348487963,0.4198426157236099,1.1503362655639648,-39.622292624579536,-40.66531178980698,5.028540837819929,-43.380764861785664,-59.44313461380505,26.503824225875885
sylvian fissure,8,42.5027235,10.21,4.971599999999999,11.74686820315764,7.669252174246936,-0.649859467875428,-1.2581894136549672,6.0557,15.9783,11.459,4.407500000000001,12.971937302512506,7.958608196771649,-0.6529276061083574,-1.3346719176148902,7.07192,16.84235,2.70633,1.2544,2.352901443384227,1.9712525726248546,-1.7261973885022894,1.4290675698668753,1.08786,3.54787,0.13301287591457367,0.04208582639694214,0.11119385482888712,0.08949967790103693,-2.2092520483103275,3.742830146494648,0.07084814459085464,0.1576896384358406,2.3194704055786133,0.24204444885253906,2.3958054958995896,0.5189654405993583,1.468730798299858,2.1371420742627594,2.097348213195801,2.5724477767944336,0.44580078125,0.4922175966203213,0.41580487026038093,0.6014403208820724,-0.9531015250251363,-1.0892988830166281,-0.13166417181491852,0.8022439777851105,-46.04490586440929,-25.69997016182781,9.984220742472331,-51.26695473797063,-43.65322482704706,23.920462986195854
lateral occipital sulcus,9,91.02828029999999,7.46577,3.5617900000000002,8.745646615732342,5.454789977952803,0.29914006802219756,-0.6819103027429056,4.29382,11.9924,9.35027,3.90343,10.288256220645431,5.499435969948127,0.45998244001522054,-0.2380314751317094,5.81245,13.9568,1.3478,2.2973799999999995,0.8765353560207917,2.9928711699434682,-1.236220754019793,-0.626249955918531,-1.33121,3.0051,0.12100563943386078,0.10865353047847748,0.07445112014980666,0.19696363556940508,-1.6753625065401554,0.395587747340608,-0.05315122380852699,0.19700762629508972,2.159963846206665,0.3682239055633545,2.1382067486329364,0.45148570787374065,0.32899749070517664,-0.35394295923075614,1.749448537826538,2.5180888175964355,0.3577933609485626,0.2893715798854828,0.3872660675382669,0.378877158020737,-0.2536935792864893,-0.837047304875564,0.08496128767728806,0.6691582798957825,-28.56936974450946,-57.04839563369751,-17.764208236709237,-29.960845896489314,-84.72867093259866,11.696337640290267
