name,ID,area,travel depth: median,travel depth: MAD,travel depth: mean,travel depth: SD,travel depth: skew,travel depth: kurtosis,travel depth: 25%,travel depth: 75%,geodesic depth: median,geodesic depth: MAD,geodesic depth: mean,geodesic depth: SD,geodesic depth: skew,geodesic depth: kurtosis,geodesic depth: 25%,geodesic depth: 75%,mean curvature: median,mean curvature: MAD,mean curvature: mean,mean curvature: SD,mean curvature: skew,mean curvature: kurtosis,mean curvature: 25%,mean curvature: 75%,freesurfer curvature: median,freesurfer curvature: MAD,freesurfer curvature: mean,freesurfer curvature: SD,freesurfer curvature: skew,freesurfer curvature: kurtosis,freesurfer curvature: 25%,freesurfer curvature: 75%,freesurfer thickness: median,freesurfer thickness: MAD,freesurfer thickness: mean,freesurfer thickness: SD,freesurfer thickness: skew,freesurfer thickness: kurtosis,freesurfer thickness: 25%,freesurfer thickness: 75%,freesurfer convexity (sulc): median,freesurfer convexity (sulc): MAD,freesurfer convexity (sulc): mean,freesurfer convexity (sulc): SD,freesurfer convexity (sulc): skew,freesurfer convexity (sulc): kurtosis,freesurfer convexity (sulc): 25%,freesurfer convexity (sulc): 75%,mean position: x,mean position: y,mean position: z,mean position in standard space: x,mean position in standard space: y,mean position in standard space: z,Laplace-Beltrami spectrum: component 2,Laplace-Beltrami spectrum: component 3,Laplace-Beltrami spectrum: component 4,Laplace-Beltrami spectrum: component 5,Laplace-Beltrami spectrum: component 6,Laplace-Beltrami spectrum: component 7,Laplace-Beltrami spectrum: component 8,Laplace-Beltrami spectrum: component 9,Laplace-Beltrami spectrum: component 10,Zernike moments: component 1,Zernike moments: component 2,Zernike moments: component 3,Zernike moments: component 4,Zernike moments: component 5,Zernike moments: component 6,Zernike moments: component 7,Zernike moments: component 8,Zernike moments: component 9,Zernike moments: component 10,Zernike moments: component 11,Zernike moments: component 12,Zernike moments: component 13,Zernike moments: component 14,Zernike moments: component 15,Zernike moments: component 16,Zernike moments: component 17,Zernike moments: component 18,Zernike moments: component 19,Zernike moments: component 20,Zernike moments: component 21,Zernike moments: component 22,Zernike moments: component 23,Zernike moments: component 24,Zernike moments: component 25,Zernike moments: component 26,Zernike moments: component 27,Zernike moments: component 28,Zernike moments: component 29,Zernike moments: component 30,Zernike moments: component 31,Zernike moments: component 32,Zernike moments: component 33,Zernike moments: component 34,Zernike moments: component 35,Zernike moments: component 36
frontomarginal sulcus,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superior frontal sulcus,1,3545.2364976000003,7.52674,2.9855800000000006,7.991390682322504,4.031380450383466,-0.7197558933853337,-1.1473291842961215,4.76877,10.8913,8.43208,3.114659999999999,8.93397208809269,4.242164047387033,-0.7006396197787148,-1.112138075421802,5.5824,11.9438,-1.91937,1.6502100000000002,-1.8061464195395887,2.7270608943281642,-0.9612965047494585,-0.5244580360058397,-3.54715,-0.242948,-0.013897058553993702,0.09602223057299852,-0.02955030269172904,0.14763764710021585,-1.477531585590927,0.5312571716427379,-0.11892539262771606,0.07696407288312912,2.5353808403015137,0.3110220432281494,2.534861524636716,0.4552519907318125,0.46217315432652933,-0.272880178220134,2.2315077781677246,2.858414649963379,0.12172829359769821,0.24280275404453278,0.14409174584471163,0.4125771243314106,-0.9634143140555297,-0.35507961839330004,-0.10718207061290741,0.3835321068763733,-19.04310381788037,39.74148498852097,50.5214506998167,-24.95373416506112,37.05948253872957,32.088400914804026,0.9624214182599519,5.416838232123274,12.269019532532688,15.728030931773445,33.939187406034385,40.19841292431267,43.61149192942107,48.18828252833949,48.81568795959264,0.0007410510356530379,0.0011327956117086137,0.0006581053558076171,4.084922334227165e-05,0.00019098513180071798,1.0040425971430227e-06,0.0007279774285786369,0.0016772730415663896,0.0016751329190000115,0.0007540546434233148,0.0002346514961827851,0.0005420924279400821,0.0016213877061550428,0.002165186008357179,0.0015209571921887656,0.0007290766858655568,0.0003920305897859236,0.0013753609217469784,0.0022339572350443134,0.002023336604302901,0.0002952085072079661,0.001105427002594396,0.0020409535603558536,0.002217903751024347,0.0002351872961848475,0.0008771382660998134,0.0017292681355307827,0.00019526638658814988,0.0007071284139581021,0.0014042472492417984,0.0001656273234902477,0.0005883511658636573,0.00014144282516369782,0.0005048484220600298,0.00012060379044773104,0.00010241186352290568
inferior frontal sulcus,2,2816.6952377000002,7.98667,3.51436,9.013574438378049,5.085167305264681,-0.2152406650745821,-0.8600243106930652,4.98174,12.387725,9.08389,3.8584300000000002,10.217235310121815,5.580099413780602,-0.1855710559148015,-0.8392732990172735,5.82552,13.984125,-1.77452,1.6277605,-1.8894619080908788,2.813442464575585,-1.1480878295828965,0.06146234896750835,-3.5225725,-0.233782,-0.0168450940400362,0.09672354348003864,-0.0366260607535332,0.15606862639590513,-1.5081078741753864,0.39228007482123406,-0.12659543752670288,0.07338428497314453,2.4642210006713867,0.29456281661987305,2.4583285192431035,0.428756438815947,0.2949732506420803,-0.3983439820518173,2.166076183319092,2.756641387939453,-0.06114373169839382,0.2863554898649454,0.021652059768888007,0.5111594426411809,-0.6076941971280896,-0.6826641754662277,-0.3020367920398712,0.3025989234447479,-30.78827057042958,49.63257568729997,32.95163357404736,-38.104770698078376,37.27707816096877,9.15051670470701,4.23727814168076,14.603071429915714,17.062277602429457,25.71156121984028,34.723607595947115,37.063647288739055,40.018043986830975,59.30944190162427,61.149129272486725,0.0002213592678029545,2.5331154485069667e-06,0.00039279483031648215,0.0003613179460335318,0.00015945303106104126,5.9110740813578255e-05,0.0004655302025979459,0.0005878469838724853,0.00048776060544498907,0.0006324127398175753,0.0005260636949580673,0.0005195617961035676,0.0009460165410108814,0.0008102354681308548,0.0008355728966578306,0.0008504563164415624,0.00048102687269876374,0.0010677471525693306,0.0010862782884401199,0.001079943724378508,0.0004151053748157907,0.0010485274619438305,0.0011885383248685616,0.0012074471700052388,0.00034986461721741164,0.000973755467984188,0.0011767041199650613,0.0002934624656001237,0.0008882562506036962,0.0011275362053559394,0.000246289071610119,0.0008068905979524576,0.000206809686768149,0.0007312065541180682,0.0001735419549126972,0.00014539704809039976
precentral sulcus,3,5134.2115781,9.21224,4.008460000000001,10.290004723555732,5.827587208275829,0.03575706257001494,-0.8449101914260839,5.63872,14.0069,10.622,4.251799999999999,11.92664820333984,6.419539610228368,0.20888431999726706,-0.5832057573523941,6.86887,15.8629,-2.34048,1.7216600000000004,-2.3546034755463108,2.964882253638216,-1.1309332184681848,-0.27642938119047056,-4.11049,-0.646895,-0.03950655087828636,0.09332354739308357,-0.04830974427021166,0.14893972815346446,-1.4354442187952206,0.3011226970192271,-0.13228915631771088,0.054046135395765305,2.7068958282470703,0.3135490417480469,2.6951157771930325,0.4454318887815578,0.533450808091407,-0.2793938923174668,2.3863511085510254,3.0141189098358154,0.04073061794042587,0.350302092730999,0.07786117804609897,0.5613571022988942,-0.9225487403167059,-0.4543531450587195,-0.27769550681114197,0.42212584614753723,-33.12224124540358,10.644457156156946,39.40405335973829,-39.0829948403005,4.329979891244749,35.467384753418564,1.1457456463911198,3.283241321233479,12.411834784559204,21.396072893265032,22.253715569890677,30.692703090468655,36.27945578255975,47.849600162969324,63.82087310109851,0.001640288394729487,0.00304156427560879,0.0031462148402165747,0.0020823151544806942,0.0005464284885933269,0.0006663332721803726,0.0009048236889814365,0.002509088031162506,0.003867958815518198,0.004225049857439947,0.003432909059888356,0.0003081228655300941,0.0011184031838414922,0.002224854522828029,0.0031657499512397795,0.0035372782521093894,0.00016253993637706978,0.0006971253109018475,0.0015856074866607635,0.002501848730480093,8.66349226304834e-05,0.0004366350992443344,0.001152496986718368,0.0020849811395805985,3.511764426896465e-05,0.00020454531026398338,0.000621144280854412,1.5383444949097578e-05,0.00010178165978132661,0.00035027250899351107,7.944139347593562e-06,5.87669868057098e-05,3.575364608332153e-06,2.9248410264405942e-05,1.5395211146448944e-06,7.331078528068282e-07
central sulcus,4,3181.5123495,8.94305,3.766250000000001,9.589723535043014,4.984311372172068,0.17972132623563206,-0.8227386798282028,5.40048,13.0255,9.8236,3.9926200000000005,10.679660624374485,5.4407932583275,0.29619450864544067,-0.5869512736970326,6.18402,14.3522,-1.14335,1.71986,-1.0869882656012897,2.698292259480534,-0.6152581211397404,-0.30174266613012524,-2.83039,0.633228,-0.009065553545951843,0.08869336545467377,-0.02296624533786443,0.1337088272050071,-1.213789661204593,0.29450111981444893,-0.10580422729253769,0.072083480656147,2.060481071472168,0.576068639755249,2.089703455042482,0.6790376405057331,0.13362551029345252,-0.9442044379462438,1.4908838272094727,2.6411499977111816,0.13038069009780884,0.35265684127807617,0.14742460327134324,0.5154666418605776,-0.5830335325528192,-0.38835161667754914,-0.21231040358543396,0.4902714192867279,-36.39553580655145,-11.560442400909066,38.63879339985843,-41.71568376336492,-16.6282900969704,45.93167152961496,3.0105441381002804,14.916753789410214,25.90014974082283,29.25836327664686,39.90125680863054,50.12814477185001,52.08875117009261,73.04530811235391,78.26887936248919,0.00021945226212334495,0.0004336161104304927,0.0005049662670774113,0.00040626954112633543,0.00017390066172125003,0.00010263710100984693,0.00012141054108042861,0.00036617717297641035,0.000643604556247896,0.0008437637178817554,0.0008817567636893217,4.3485503562419364e-05,0.00017262726881589761,0.0003870944612270042,0.0006345794964353734,0.00082748009406246,1.7381584639371645e-05,8.526024604326487e-05,0.00023193367787913594,0.0004548750214420524,6.633958567279468e-06,3.684264166115532e-05,0.00011358271400819886,0.0002556351847657484,3.752323665899289e-06,2.2082715915352367e-05,7.020051239948857e-05,2.19294583363013e-06,1.4175711342487405e-05,4.862086484473717e-05,1.2611344729692327e-06,8.820182107266013e-06,7.563458363978227e-07,5.742734577298578e-06,4.585758403375908e-07,2.712321957575936e-07
postcentral sulcus,5,2852.8315352,7.64234,3.20974,8.674423439280755,4.8193078321994545,0.20421587187617096,-0.6131758414496855,4.89917,11.6541,8.86927,3.5009300000000003,10.042099367891169,5.325828894331684,0.30511672147302704,-0.44235676012553515,5.80066,13.2925,-1.85731,1.6087500000000001,-1.865514054891511,2.677886416000904,-1.028539692630764,-0.23376774829977132,-3.52763,-0.303079,-0.021169861778616905,0.09864559210836887,-0.038833443521129954,0.1561267798691958,-1.4178876092438608,0.3477442522088925,-0.13080939650535583,0.06635503470897675,2.2999119758605957,0.3910670280456543,2.291480203997186,0.5413079471319766,0.47497570388156085,-0.3831080508680347,1.8943035006523132,2.673140048980713,-0.015739968046545982,0.2635356280952692,0.021909383379905466,0.43529316841394433,-0.6444844866719792,-0.5666236258774116,-0.2665700912475586,0.269957959651947,-39.490999569437,-22.864994842734855,31.59710737020385,-44.51883907292851,-30.510827662116085,44.48899868204235,1.3648830917268193,6.350329975378658,19.645763152315034,23.351483716632348,27.744488303584294,39.15634150449604,48.77678197938356,58.90083131103157,66.01297486386815,0.0005455299394617677,0.0010153065017026912,0.001077856822125103,0.0008077288019291848,0.0004459159051350708,0.00021457636509382552,0.00035034309470699846,0.0009361172335671624,0.0013613499219328154,0.0013811366892706358,0.0010644340787262258,0.00017871328483660135,0.0006145544059251274,0.0011233370600738635,0.0014133486968740416,0.0013331876948603429,8.733460550177607e-05,0.0003653942032602695,0.0008012488788864504,0.0011990391661358605,4.268510109777845e-05,0.00021050406758284934,0.000540296662128742,0.000944843684531223,2.067788018191819e-05,0.00011735422163426652,0.0003453175042988997,9.906753836565176e-06,6.332922706667978e-05,0.00020906375622985196,4.788222627603454e-06,3.3905739235824736e-05,2.371894966370527e-06,1.8372155494889533e-05,1.2131337307956414e-06,6.403971626538579e-07
intraparietal sulcus,6,3966.7894778,9.47417,4.019300000000001,10.246246336339192,5.603597659715091,-0.2587052796925428,-0.9710826783470043,5.7469,13.8657,10.5277,4.216000000000001,11.434195955358256,5.989711982227496,-0.22339451747410885,-0.9515509939176616,6.63541,15.2655,-1.58669,1.8889209999999999,-1.5462014533589805,2.9614224707092265,-0.9505459305269187,-0.4700839410917199,-3.48657,0.295444,-0.01166130043566227,0.09309645928442478,-0.029886791742273808,0.14660858710663163,-1.426640129562365,0.29820388989869606,-0.11848489195108414,0.07193896919488907,2.1890063285827637,0.24539530277252197,2.1806331609193244,0.3761790222406355,0.2084814769139539,-0.12569673144822913,1.9468475580215454,2.438126564025879,0.119183249771595,0.34864016622304916,0.16913529529118992,0.5447907223479518,-0.6796488329491205,-0.7100074884577636,-0.21213896572589874,0.49412983655929565,-27.764963291374478,-47.29334545944084,19.4785452408992,-30.192322199829462,-58.1256128350642,44.616048652396124,0.9214866068650686,4.192199644324962,10.474119873539383,23.23074638795193,28.55469392000332,38.850786084138456,50.50020216346908,54.93793614000413,59.74905454496792,0.000395950058847605,0.0006840212707323348,0.0006112512086534436,0.00030704888421123746,4.0926635934328466e-05,7.294057205842265e-06,0.000307677796778479,0.0007758402874403282,0.0010073960143102295,0.000820584005869093,0.00040871274119895284,0.00018150823201984904,0.0005966268579856693,0.0010049608903577518,0.0010864902577327256,0.0007471581477610032,9.979388107542997e-05,0.0004055519310297296,0.0008469885770676037,0.001166167978157495,5.292901981287409e-05,0.0002557046349186483,0.000636216734195459,0.0010617738102456184,2.8348785834618254e-05,0.00015721473607565082,0.0004482311382726506,1.614174543605614e-05,9.994330139012896e-05,0.00031646229008487826,9.751551418208829e-06,6.637300937338883e-05,5.977163997983268e-06,4.432033255526389e-05,3.6078572592993934e-06,2.1404540116041977e-06
primary intermediate sulcus/1st segment of post. sup. temporal sulcus,7,2233.9680055,10.791,4.338170000000001,11.20120960938029,5.74937970089964,-0.5910500579534654,-1.0404667729531603,6.53467,15.2677,12.1158,4.67286,12.614445349951287,6.248448326567764,-0.48878389339861467,-0.9678854573549418,7.59034,16.989549999999998,-2.49677,1.7035399999999998,-2.357796794081134,3.019552577949214,-0.8564925518904903,-0.561086624308238,-4.27048,-0.8599060000000001,-0.05679718405008316,0.11303554847836494,-0.06052740439441567,0.16494065194179913,-1.2674756442633297,-0.3747162606380132,-0.17379643023014069,0.05428316444158554,2.451632022857666,0.28551149368286133,2.4367109071594304,0.41112451680094475,0.23801234112996814,0.13533789849425037,2.1556992530822754,2.720858573913574,-0.03110719658434391,0.357863524928689,0.055754006333078115,0.5877298519603992,-0.7687564747853785,-0.8703460443744739,-0.33620962500572205,0.4044555723667145,-43.260444908597144,-40.66411049171072,6.321166448716745,-47.44327549281893,-59.01370474840305,27.798557090850377,3.398570864202615,11.946164215966483,20.025713688275236,23.61463833879889,33.726967526522735,45.52133968158686,46.62246685641747,58.70229328725811,61.36983192008487,0.001209206240086229,0.002221929149935388,0.0022578676167515368,0.0014499790936475909,0.00035686066567654944,0.00043033564916444334,0.0008489226857993136,0.0023022501927012777,0.00341570057510856,0.0035114405385758144,0.002583786810809318,0.00042487709513444453,0.0014979933074485956,0.0028422662877019044,0.003758800928191721,0.0037479097428915593,0.00019608156910801627,0.0008424941389258915,0.0019204575185073716,0.0030335549567430753,9.100799241337033e-05,0.0004587168729510087,0.0012126561703163323,0.002204637340367185,4.39855655032374e-05,0.0002543058733664637,0.0007650910266622965,2.18583996992761e-05,0.0001427812346789666,0.0004829673306138491,1.0852616686048544e-05,7.906244853450405e-05,5.2906619109715325e-06,4.248989226653394e-05,2.5256203145195075e-06,1.1884733624721868e-06
sylvian fissure,8,1743.1972084,9.24391,4.389329999999999,10.519160025624748,6.328535634697334,-0.10395704193700842,-0.91614679058693,5.3868,14.6723,10.6726,4.689500000000001,12.0796723988723,6.779439740506316,-0.09938085569605554,-1.051840316944607,6.62808,16.7861,-1.9344,2.260534,-2.076363828769145,3.288807579539631,-1.1405920686461741,-0.5262816313525374,-4.36859,0.154798,-0.028345709666609764,0.11287924833595753,-0.05641624290587486,0.16704938793443116,-1.4146876317185981,-0.04816957088026541,-0.17369647324085236,0.06418465822935104,2.5546011924743652,0.3587501049041748,2.5930538709153685,0.5207907270398883,0.8064667525832865,0.1032242479557155,2.2274789810180664,2.9523274898529053,-0.011522560380399227,0.3207108387723565,0.06516903310771971,0.5316238091307478,-0.598410527118446,-0.8710978020265197,-0.2931733727455139,0.3638457655906677,-48.78628004642955,-25.208430021796673,9.974462515133924,-54.33163351509266,-43.34269517499481,23.64715697879401,2.7592022634091786,7.085945399064393,11.27353017015816,24.138795696037718,27.73923425870111,36.38169473415007,46.49098202151017,52.14513544169489,59.798264472130484,4.147654299532986e-05,7.833897281028915e-05,8.314393129402878e-05,5.4438248059888416e-05,3.993233846578016e-06,5.050590214956366e-05,2.9295627009350673e-05,8.457788625625426e-05,0.00014107308860756594,0.00017913748619531738,0.0001956704097452792,1.6712327858657807e-05,6.169446415214412e-05,0.00012640388313751944,0.00019034871922894012,0.00024046462466540888,1.1605249238101615e-05,5.231217641344828e-05,0.00012757353356046048,0.0002206838510382878,7.362238171001848e-06,3.9459025978659914e-05,0.00011330888664480321,0.00022907515960003411,4.03947817838023e-06,2.5065561765503918e-05,8.275764682972285e-05,1.9623629058696797e-06,1.38141309766079e-05,5.1440649471533644e-05,8.6241281319903e-07,6.78107599047931e-06,3.4993268877825125e-07,3.0344712654032078e-06,1.3609897604038672e-07,5.4821783175467553e-08
lateral occipital sulcus,9,2776.893023,7.04972,2.85274,8.218792380230528,4.723225516444987,0.574692451956196,-0.13825208350041462,4.53907,10.6909,8.50473,3.2967900000000006,9.625018667578775,5.27562597743718,0.6860089846996293,0.1634542108484731,5.50073,12.336,-1.97497,1.34733,-1.8535330720858092,2.4986753135686826,-0.8443105690720379,-0.22624744096384974,-3.28725,-0.569621,-0.020734259858727455,0.1107995118945837,-0.029355301606729313,0.16324460349524483,-1.238370598809577,-0.25398016862448003,-0.13716086745262146,0.08562183380126953,2.2071709632873535,0.30853867530822754,2.1788979702997797,0.46236029815583646,-0.0027727909309601217,-0.2662411980464787,1.8852684497833252,2.5048739910125732,0.06957576423883438,0.27047649770975113,0.10975282377065372,0.4238063720845413,-0.4708690576248091,-0.5592491537621966,-0.17579588294029236,0.37329617142677307,-32.39246987807417,-55.17762851371111,-16.869365172585383,-34.30434140077285,-82.77594182669499,11.637742875068659,1.654606085196758,5.0763408398446455,10.38608668899949,14.779261381765505,25.70720847871744,35.32872461859865,41.56042742898051,46.147117936916615,56.15484817628616,1.1260994793385404e-05,0.00041695903339447187,0.0009197892530730508,0.0007416173826896965,1.752160363864292e-05,0.00047959058817527694,0.0004048701244664535,0.000691568476419725,0.0012351624880860615,0.0017115121548609892,0.0010735010014265066,0.0005272575092098889,0.0011886771545976647,0.0014349869427366946,0.001972459071502522,0.0019868107113309532,0.0004946483637945524,0.0014110447956006814,0.0018618323435419916,0.002036324688263262,0.00040198021903648597,0.001368673560518777,0.002126737905916513,0.002225953514408566,0.00030242866987362807,0.0011820633077324516,0.0021169954402014608,0.0002179693058757701,0.0009515403528902179,0.0019097212611433954,0.0001538506821463554,0.0007354252462720651,0.00010805812294583982,0.0005579798394430869,7.635555603370577e-05,5.458804729073762e-05
