name,ID,area,travel depth: median,travel depth: MAD,travel depth: mean,travel depth: SD,travel depth: skew,travel depth: kurtosis,travel depth: 25%,travel depth: 75%,geodesic depth: median,geodesic depth: MAD,geodesic depth: mean,geodesic depth: SD,geodesic depth: skew,geodesic depth: kurtosis,geodesic depth: 25%,geodesic depth: 75%,mean curvature: median,mean curvature: MAD,mean curvature: mean,mean curvature: SD,mean curvature: skew,mean curvature: kurtosis,mean curvature: 25%,mean curvature: 75%,freesurfer curvature: median,freesurfer curvature: MAD,freesurfer curvature: mean,freesurfer curvature: SD,freesurfer curvature: skew,freesurfer curvature: kurtosis,freesurfer curvature: 25%,freesurfer curvature: 75%,freesurfer thickness: median,freesurfer thickness: MAD,freesurfer thickness: mean,freesurfer thickness: SD,freesurfer thickness: skew,freesurfer thickness: kurtosis,freesurfer thickness: 25%,freesurfer thickness: 75%,freesurfer convexity (sulc): median,freesurfer convexity (sulc): MAD,freesurfer convexity (sulc): mean,freesurfer convexity (sulc): SD,freesurfer convexity (sulc): skew,freesurfer convexity (sulc): kurtosis,freesurfer convexity (sulc): 25%,freesurfer convexity (sulc): 75%,mean position: x,mean position: y,mean position: z,mean position in standard space: x,mean position in standard space: y,mean position in standard space: z
frontomarginal sulcus,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superior frontal sulcus,1,87.94213930000001,7.42206,3.72874,8.532413043640206,5.027030353117137,-0.4176219802779867,-1.3049062252865085,4.650499999999999,12.3055,8.44973,3.90418,9.519280596882295,5.314839432225183,-0.46948307788522653,-1.2797716400789874,5.21927,13.725399999999999,2.23367,1.2759,2.1697874305581655,1.9217506943515963,-0.868206282748066,-0.16101386239866944,1.01325325,3.514575,0.15848270058631897,0.025259844958782196,0.13590014513695844,0.0713245382589515,-1.9839177354227324,2.290549738240488,0.12037317454814911,0.17787063494324684,2.2355945110321045,0.23562359809875488,2.303879326694614,0.4451839378504629,0.6510985617434032,0.4931332995151667,2.042740285396576,2.522484302520752,0.3195144534111023,0.43230435997247696,0.3443245025019187,0.5397960269764182,-0.6221463369855668,-1.0956733244901466,-0.10734125971794128,0.7652692198753357,24.839680865958886,32.78720627559556,51.57246016278679,24.047161467787966,33.35233598547119,36.90955328276308
inferior frontal sulcus,2,69.75222600000001,12.1802,4.4681299999999995,12.133005056307246,5.552794998298758,-0.39904760914430676,-0.9102684274839112,7.707535,16.5852,13.2777,4.30227,13.245151006518272,5.6879381352083875,-0.37248556382730574,-0.8435592850083191,8.53595,17.2009,2.19304,2.556044,1.2443259693676143,3.770878786282354,-1.4794572762729965,0.0642094252050649,-1.7101250000000001,4.06296,0.14561015367507935,0.04738031327724457,0.10663620154086141,0.11213393808880613,-2.003372071667881,2.0473974390298944,0.04445503652095795,0.17934702336788177,2.326935291290283,0.27736616134643555,2.33736085614319,0.5404049944964772,0.7584786975065579,1.2623120118244318,2.062617301940918,2.6043014526367188,0.49504807591438293,0.4281596839427948,0.5147490777102233,0.5805085530472823,-0.7818644035792321,-0.9930650431420074,0.02459164522588253,0.8839073181152344,37.90429155137804,35.4251533487108,34.54070182376438,38.748117826530375,28.39111645847484,18.324461163799743
precentral sulcus,3,86.15398220000002,10.1379,4.3167100000000005,10.812104392264445,5.665954520430288,-0.5041537074879835,-0.9595227630754248,7.00104,15.222,11.5111,5.01,12.128868716229194,5.947728590118789,-0.5443928475476989,-0.9462049304932547,8.22127,16.7741,0.83597,2.83043,-0.05976764044700426,4.304318654087768,-1.5384000281096182,0.058886304332468775,-2.70982,3.03985,0.08120893687009811,0.10462003201246262,0.009168081278514246,0.212244896702479,-1.772436591320226,0.7482812016127918,-0.12144724279642105,0.16707122325897217,2.4874796867370605,0.34230709075927734,2.4899700615542484,0.5272402042620337,0.7934676140827619,-0.546614442000894,2.1684422492980957,2.8394808769226074,0.2893628180027008,0.4789358079433441,0.2830296295812277,0.7585246522994288,-1.2880646918978476,-0.30552952426403257,-0.141600102186203,0.8219530582427979,34.852935191184756,-3.2216545077454715,40.02338482841613,36.976397654964686,-4.735716466610693,43.47870401880968
central sulcus,4,97.365257,14.064,4.939735000000001,14.32399739751357,5.734431348629829,-0.606555938028815,-0.8695094853503624,10.4382,19.9887,16.1094,5.0428999999999995,16.314718207371957,7.065811693511396,-0.04460845404936984,-0.3782176030837232,11.6728,21.5338,2.73504,1.961653,2.29086657431192,2.9436465760494204,-1.5356365485139853,1.1032252120951132,0.293736,4.4203,0.12393707036972046,0.06256979331374168,0.09923886176705196,0.12012294795506984,-2.1628120238093116,3.704239598224765,0.04754474014043808,0.17608197033405304,1.7803624272346497,0.40055936574935913,1.8837148388600693,0.5061995562423119,0.7066712713574999,-0.7791047418340766,1.464567482471466,2.3045027256011963,0.6367259323596954,0.4918690621852875,0.6042415708368333,0.6133667528903541,-1.1004481899314338,-0.5786305289731768,0.16334345936775208,1.1331322193145752,33.89441086325729,-15.734337700923023,33.76553112791296,36.584454882601555,-19.252922219694234,43.45651417114762
postcentral sulcus,5,138.3735776,8.14905,3.7138800000000005,8.923130392219763,4.782733217506172,-0.23150872537837375,-1.2194876883768806,4.91767,12.8571,9.19244,3.6478399999999995,9.995565482631221,5.081880180575484,-0.14077958047815758,-1.0864499469435005,5.93521,13.8632,-0.0554308,2.9871992,-0.3606749812018201,4.022178056987992,-1.2916538081917537,-0.6439215632119955,-3.19167,2.66501,0.06183284521102905,0.1312221884727478,0.03453934455399111,0.192955951573144,-1.6363321557193982,0.27995731685014613,-0.08368535339832306,0.18318025767803192,2.3854339122772217,0.556408166885376,2.3712164917853817,0.7034176793457217,0.43593155826006746,-0.48116252231970735,1.7899324297904968,2.9382143020629883,0.014033164829015732,0.33997055515646935,0.08830538583931062,0.5564797610659908,-1.0193018344470364,-0.9433880210397185,-0.2524605691432953,0.43258827924728394,40.14634290633843,-26.882192475056787,28.597371919810424,44.11551054733517,-31.638826781830442,43.88729742768382
intraparietal sulcus,6,88.62232,12.0064,4.6504199999999996,11.560277558121475,5.603346802934101,-0.787872388855217,-1.011388689231363,7.23082,16.2242,13.0157,4.8096,12.906267100828007,5.932079763071723,-0.7948791053852636,-0.9094883820673862,8.65098,18.1249,2.84994,1.5758799999999997,2.704803055038761,2.2685865274208084,-1.2651222760344696,0.17092422159299359,1.43867,4.58521,0.1633312925696373,0.043102771043777466,0.14358064252423877,0.09687826793583931,-2.1712570199028547,3.6313476278713743,0.11338255554437637,0.20197701454162598,1.9539177417755127,0.25118017196655273,2.0037702396929498,0.43646090214632205,0.3326111287417648,0.21428718375952682,1.7271294593811035,2.2583465576171875,0.624004065990448,0.3904765397310257,0.6592201906603835,0.4927585051032393,-0.9544264165743638,-0.6686300930229083,0.31820764392614365,1.0647206902503967,25.376150789198938,-51.82043056983452,12.06160999504946,29.13490416087002,-63.134528840455125,39.645522276523074
primary intermediate sulcus/1st segment of post. sup. temporal sulcus,7,63.62287470000001,15.0737,3.5874999999999995,14.269485079735414,5.216907225466514,-1.1754149228346997,0.04566928815875304,11.4625,18.5404,16.7758,3.4216499999999996,15.7893833181757,5.697847832803296,-1.1078253372045217,0.00272028038723926,12.64855,20.1467,1.62868,1.28495,1.4610166769807813,2.3277416341594663,-1.6056021975382422,0.9482978517588836,0.678941,3.1361575000000004,0.10673826187849045,0.057532183825969696,0.08471830547672686,0.11634153881031571,-1.7162487825040305,1.1858671948165114,0.03260736167430878,0.15663299337029457,2.2731051445007324,0.23917508125305176,2.3001809608686945,0.4285011386481162,0.15944517051111354,-0.24610087141271508,2.035826027393341,2.5301623344421387,0.6606308221817017,0.3088291883468628,0.6353108995220359,0.4035953913131336,-1.0924832538702698,-0.2707774224808368,0.3131602704524994,0.9271929860115051,43.764586604921156,-32.44914007456289,4.801158743052833,48.820725073421066,-47.81715263437937,22.53689519199715
sylvian fissure,8,23.5632506,14.3975,3.7981000000000016,13.29106939931976,6.129318593596353,-0.5419243431254666,-0.6477885299058483,8.03198,17.0053,16.0356,3.796499999999998,14.418198023739349,6.525781685774051,-0.5090121022908644,-0.6464902044007808,8.54413,17.7582,2.91903,1.1679600000000003,2.5867553244640265,1.7019805790682,-0.9200643603735551,-0.558743563500562,1.42134,3.78503,0.14354926347732544,0.055289119482040405,0.13854822058578423,0.07153211039546492,-0.8812082887739237,-0.8815145516235834,0.07924612611532211,0.18905583024024963,1.9868130683898926,0.1644296646118164,2.1188048562004465,0.4878487766769555,0.3602442586270064,0.48232444645451134,1.8274457454681396,2.273554563522339,0.821980357170105,0.29859840869903564,0.7539151666802223,0.496963973568359,-0.8155198378661679,-0.30316534755063396,0.40812042355537415,1.0464799404144287,47.19539633029845,-22.99141225582216,9.274512370003432,52.1258326838893,-36.83006962227616,22.30671270791465
lateral occipital sulcus,9,115.41984289999999,8.07218,3.7125699999999995,8.771532067336466,4.990216750341934,-0.3625500460453964,-1.0984823217569213,4.6902775,12.142800000000001,10.1923,3.4154999999999998,10.956588878271313,5.110459723582845,-0.10096001846285059,-0.9557755036608206,7.1150325,14.2926,0.869639,1.7879,0.49691670287281003,3.5368865294108556,-1.4020148457989252,0.11665800138789528,-1.00825,2.33372,0.09055674821138382,0.1175481267273426,0.05360501940078087,0.19807492168227864,-1.7866991174897056,1.1138821232123028,-0.07041957974433899,0.1952093504369259,2.0009827613830566,0.3709515333175659,2.0253316783517485,0.5081148511056349,0.18438467257508762,-0.2716365096185114,1.6953237056732178,2.41454815864563,0.3866741359233856,0.31095121800899506,0.3937611149596654,0.4464093638701503,-0.9191833519465302,-0.8030692689071794,0.07572291791439056,0.698573648929596,33.21584125753149,-52.04115098816543,-18.6024177718666,38.415952623083015,-77.4249729148128,8.624064403830555
