name,ID,area,travel depth: median,travel depth: MAD,travel depth: mean,travel depth: SD,travel depth: skew,travel depth: kurtosis,travel depth: 25%,travel depth: 75%,geodesic depth: median,geodesic depth: MAD,geodesic depth: mean,geodesic depth: SD,geodesic depth: skew,geodesic depth: kurtosis,geodesic depth: 25%,geodesic depth: 75%,mean curvature: median,mean curvature: MAD,mean curvature: mean,mean curvature: SD,mean curvature: skew,mean curvature: kurtosis,mean curvature: 25%,mean curvature: 75%,freesurfer curvature: median,freesurfer curvature: MAD,freesurfer curvature: mean,freesurfer curvature: SD,freesurfer curvature: skew,freesurfer curvature: kurtosis,freesurfer curvature: 25%,freesurfer curvature: 75%,freesurfer thickness: median,freesurfer thickness: MAD,freesurfer thickness: mean,freesurfer thickness: SD,freesurfer thickness: skew,freesurfer thickness: kurtosis,freesurfer thickness: 25%,freesurfer thickness: 75%,freesurfer convexity (sulc): median,freesurfer convexity (sulc): MAD,freesurfer convexity (sulc): mean,freesurfer convexity (sulc): SD,freesurfer convexity (sulc): skew,freesurfer convexity (sulc): kurtosis,freesurfer convexity (sulc): 25%,freesurfer convexity (sulc): 75%,mean position: x,mean position: y,mean position: z,mean position in standard space: x,mean position in standard space: y,mean position in standard space: z,Laplace-Beltrami spectrum: component 2,Laplace-Beltrami spectrum: component 3,Laplace-Beltrami spectrum: component 4,Laplace-Beltrami spectrum: component 5,Laplace-Beltrami spectrum: component 6,Laplace-Beltrami spectrum: component 7,Laplace-Beltrami spectrum: component 8,Laplace-Beltrami spectrum: component 9,Laplace-Beltrami spectrum: component 10,Zernike moments: component 1,Zernike moments: component 2,Zernike moments: component 3,Zernike moments: component 4,Zernike moments: component 5,Zernike moments: component 6,Zernike moments: component 7,Zernike moments: component 8,Zernike moments: component 9,Zernike moments: component 10,Zernike moments: component 11,Zernike moments: component 12,Zernike moments: component 13,Zernike moments: component 14,Zernike moments: component 15,Zernike moments: component 16,Zernike moments: component 17,Zernike moments: component 18,Zernike moments: component 19,Zernike moments: component 20,Zernike moments: component 21,Zernike moments: component 22,Zernike moments: component 23,Zernike moments: component 24,Zernike moments: component 25,Zernike moments: component 26,Zernike moments: component 27,Zernike moments: component 28,Zernike moments: component 29,Zernike moments: component 30,Zernike moments: component 31,Zernike moments: component 32,Zernike moments: component 33,Zernike moments: component 34,Zernike moments: component 35,Zernike moments: component 36
frontomarginal sulcus,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superior frontal sulcus,1,3306.1340327999997,6.74287,2.9105000000000008,7.51412919239332,4.1869272849767665,-0.26267009495270466,-1.020608389874358,4.12462,10.222925,7.54796,3.036340000000001,8.473710813367912,4.511416560784447,-0.16940007920806202,-0.9500524443091076,4.94925,11.2742,-1.85262,1.6117599999999999,-1.757226581270855,2.744197997759879,-1.0327903631182944,-0.40620957314350914,-3.43324,-0.20292,0.00030965518089942634,0.09168450694414787,-0.012481213648761416,0.14162418255565923,-1.4572304075554425,0.18018309812479583,-0.09685776382684708,0.08809056878089905,2.522742748260498,0.2627222537994385,2.5309008223424185,0.3949390891962741,0.5539301319347064,0.33699725546572346,2.2627179622650146,2.7892370223999023,0.025949301198124886,0.26552711613476276,0.08569480150476332,0.44496475109252254,-0.5965222212949816,-0.6670679864898426,-0.21025878190994263,0.3380008339881897,25.732151876294974,31.080292311365138,53.45197625525221,25.07880397969365,32.71379426452591,39.69042617685936,4.916881637290417,7.393272900535398,13.868263881504976,18.72732016047351,33.08203612530068,37.048428205622216,48.606365520410385,55.534575407021016,62.201286907974335,0.0007963257509321074,0.0008835482268220557,0.0003419894175486634,3.8151085874280066e-05,0.00011007324110295057,0.00015511146469661397,0.0009164891242099673,0.0014602818238657002,0.0010594551024834726,0.0006337358842528481,0.00028066749089188526,0.000787242861703551,0.0015216887269156002,0.001429130260679123,0.0011626730911222845,0.0008502217586378007,0.0006374686435896298,0.0013691475336592388,0.001463725728689285,0.0014139149503553372,0.0005187381679998781,0.0011768095298033095,0.0012981720818984958,0.0013965349915566901,0.00043481582080470265,0.0010317488542412076,0.0010854927278520661,0.0003743048933961371,0.0009466487424015488,0.0009487005078360624,0.0003260767040978292,0.0008930465561811102,0.0002842096580009766,0.0008434662836283644,0.000246770836539026,0.00021349548025686578
inferior frontal sulcus,2,2850.1631419999994,8.07743,3.5147899999999996,8.926397781611758,5.180099403994422,-0.3643709020374901,-0.9920608504393544,4.93821,12.0801,8.9106,3.654,9.754948254702546,5.378626779675353,-0.37676092547649453,-0.9914363180488421,5.58268,13.1092,-2.02449,1.6568799999999997,-1.8859761555767542,2.8032704630955494,-0.9026772485904726,-0.46741186006152047,-3.62292,-0.303776,-0.00624644011259079,0.08728612214326859,-0.024208774548557244,0.14150769144674316,-1.5299055643668948,0.7282060290937604,-0.10620259493589401,0.07276371121406555,2.432269811630249,0.23326516151428223,2.3949481320493464,0.38076705363625407,0.17894002252033453,0.8337897559350491,2.1568920612335205,2.631746530532837,0.06544378399848938,0.3067539632320404,0.12227161781930997,0.5111613985355071,-0.6984567016326394,-0.7313125256985886,-0.21260352432727814,0.4125235080718994,40.6964270002629,34.49999574206782,35.51568044549644,41.8705015136095,28.13988880465183,19.799165731882216,2.440450782433712,7.019769123447197,19.485511061463086,22.200136850408267,23.00018844753346,33.60296948233852,44.81032992241524,49.66720558668097,60.220654403662124,0.00010199442160759455,0.00022821085046164944,0.0002190476499184652,1.1762592206149313e-05,0.00026547770726398443,0.0002922575678194726,6.505996296044888e-05,0.00028456849679998783,0.0005207958993548359,0.00043307923548724234,0.0001047630439388897,3.1410181668200786e-05,0.00017346943899826725,0.000523385693358416,0.000727220454695723,0.0005007700042833479,5.0224783116236564e-05,0.00010033613826936153,0.0003602430416959557,0.0007238660152719689,5.799896064207816e-05,0.00013048228000527842,0.00021552906085892622,0.0005617350170838635,5.458370309782504e-05,0.0001562991457841602,0.00018622640768080513,4.681155294699139e-05,0.00015916465379261862,0.00021086126226545684,3.8392863799837764e-05,0.00014903072644410336,3.075456459519795e-05,0.00013348197687745064,2.4276015902342935e-05,1.8958564644741174e-05
precentral sulcus,3,3983.1122333499998,9.10815,3.86195,9.998671552120934,5.546246044603529,0.034365539292380745,-0.7891027653606701,5.61463,13.5983,10.3131,4.13809,11.352899075158815,6.144262585109264,0.2936296492282832,-0.21797569764627145,6.55972,15.144,-2.26604,1.5182200000000003,-2.3447767749365904,2.755108517865834,-1.1076451472437676,-0.0025152695096242184,-3.82136,-0.814546,-0.043139003217220306,0.09961643069982529,-0.0519990424406269,0.14526510571921986,-1.2655064329852208,-0.11354629616741452,-0.15196171402931213,0.05080902948975563,2.6373038291931152,0.28455686569213867,2.618174189655799,0.43899034366310935,0.3889341855913963,-0.07642007082391622,2.33573317527771,2.9022889137268066,0.05836604908108711,0.3478509448468685,0.05744382429064428,0.5721984982425572,-1.0322232659293413,-0.13211259038325984,-0.28577107191085815,0.41025304794311523,36.56320937392556,2.064010672995241,39.759237931349304,38.64491516911752,0.08904478740476388,40.53885498719979,1.1177510806440365,4.167913903389607,10.47618454531595,14.091322161292016,24.676929734973417,34.67409850309035,43.331213961387334,50.9932737452648,55.62387953166857,0.0007938368555517489,0.0015292970279624641,0.0017199903319015124,0.001364366102766524,0.0006890877837039503,4.695012338935959e-06,0.0003775380705709188,0.001085934358383856,0.0017877996107842672,0.0021759199638220167,0.0021068324397082528,0.0001537297253656711,0.000558827524959701,0.0011238459656106564,0.001652571679941628,0.001986209137859826,9.38497972387949e-05,0.0004100222357639676,0.0009612091732846806,0.001590610643369744,4.0985975853558654e-05,0.00021242609866236188,0.0005859602254279353,0.001134291960638559,1.5760343510212373e-05,9.36277052914985e-05,0.0002936587107510834,7.294316563918203e-06,4.830314715310448e-05,0.00016732538250612664,3.1678258309173408e-06,2.30438337777428e-05,1.8195810026237053e-06,1.4574614919075662e-05,1.1413760380787657e-06,5.523744761507442e-07
central sulcus,4,3477.6077807,9.879,4.4414,10.504160914976634,5.551405317382516,0.041601009708682246,-1.043371584682526,5.74728,14.795675000000001,10.8058,4.777279999999999,11.702419841978955,6.280529588889589,0.33712258376125587,-0.31498127343047333,6.41367,16.2228,-1.23808,1.6469230000000001,-1.1458200045525968,2.5697109921883876,-0.5328055961189848,-0.2895947119316711,-2.87562,0.422753,-0.014996611513197422,0.08976101782172918,-0.027352958541507995,0.13428606199520782,-1.129581806502362,0.15098280626687366,-0.11207682639360428,0.06890133768320084,1.9510114192962646,0.4596374034881592,2.018152569787769,0.6033698685669192,0.5050396399259292,-0.5946401298306743,1.518614411354065,2.4478421211242676,0.1150648221373558,0.3572339788079262,0.17710868159844295,0.5120275788733575,-0.2758893654989643,-0.7602072866196123,-0.19991040229797363,0.5298272967338562,35.333133542387785,-17.81848762152234,38.162109480152715,38.192517196351574,-19.02270018289373,48.99039580746734,4.379964620683619,14.260080951356159,23.471693461682072,29.259836567477922,34.43066578115406,49.46153434719696,54.49096821996986,73.61175092039176,77.58721530652461,0.00020753155960316763,0.0004223216674357299,0.0005222675873801054,0.00047379551424709174,0.0002925594015059522,4.468795800051105e-05,0.00010376182129892026,0.0003214797234440883,0.0005885020535430454,0.0008147979370746724,0.0009156122104252408,3.026865681394556e-05,0.00012242623489301584,0.00028433989237271754,0.000490536260999091,0.000682442357547156,1.3754685529042953e-05,6.37718090772857e-05,0.00016737312924645952,0.0003275615176883152,8.151792555457629e-06,4.085623657427352e-05,0.00011187746817845121,0.00022824426804185274,5.311668782957599e-06,2.9528439068511562e-05,8.591902960442921e-05,3.343246722066369e-06,2.086794381511628e-05,6.716764432830927e-05,2.019304833756522e-06,1.4004695620875883e-05,1.1922826676967557e-06,9.0932233004571e-06,6.98470045620344e-07,4.042948495624283e-07
postcentral sulcus,5,3930.8580062,6.86169,2.9060300000000003,8.009938600140591,4.807477721923135,0.6426843578075606,0.4946705883282876,4.3324,10.5671,7.78586,3.0708899999999995,9.04978382052935,5.199722194691547,0.7264354147589154,0.7494881515558651,5.13464,11.7398,-2.14577,1.5054570000000003,-2.022602807287095,2.6394724596491668,-0.9211482957341093,-0.20061615185577653,-3.58094,-0.5712275,-0.02676824852824211,0.09316741302609444,-0.03978950993290902,0.15297172008656515,-1.3611072051750706,0.1126418629474153,-0.12971895933151245,0.059651196002960205,2.2414283752441406,0.36112403869628906,2.2999144480466693,0.5410269334368983,0.4959029726766864,0.06044164042599842,1.913343906402588,2.650458335876465,-0.03774315118789673,0.2541001886129379,-0.00944275668066846,0.4207822775055392,-0.7709560991114839,-0.3265048892369049,-0.28058287501335144,0.2323577105998993,40.38593529598721,-28.097281290055896,29.781299372216388,44.413488306187205,-32.18591708016629,45.70826449315325,3.2996349134441334,13.705594973327011,14.75372100537623,31.57457226271277,36.45921565403879,40.763644199632196,44.078308399689504,61.03880476278489,81.42572634270043,0.0011170894017380787,0.0021108867701924152,0.0023004106717874435,0.0017679693733522342,0.000919344251555056,0.00018214406506814068,0.0006480993446666388,0.001774322658160763,0.002701772066779619,0.0029699954750252023,0.002593054868892406,0.00028700607376144343,0.0010013262943493427,0.0018803299652392239,0.002486158906574876,0.002570029941304447,0.00012880522158348668,0.0005453359027738607,0.001222295166801038,0.0019037375404162035,5.5556235204967287e-05,0.00027472832926842916,0.0007111748965654362,0.0012708600332397599,2.4027059034642513e-05,0.0001347475212359295,0.00039089615975018883,1.101081773197238e-05,6.915076502536105e-05,0.00022275378670057275,5.388915028210805e-06,3.7738935204539064e-05,2.740349271841146e-06,2.124038874891561e-05,1.4054391941035362e-06,7.33814997137249e-07
intraparietal sulcus,6,4002.9544211,8.10152,3.51638,8.864025134216515,4.926972288209919,-0.4375026138945911,-1.0538581792741641,4.96,12.1971,9.16854,3.7873099999999997,9.963089270814939,5.303924708111415,-0.4449127378124094,-1.0915627831614452,5.72466,13.5422,-1.78893,1.614472,-1.7837774997935434,2.7508406299584984,-0.9473378802018704,-0.18893861580150073,-3.46118,-0.229825,-0.017542565241456032,0.09084229357540607,-0.029684835833192584,0.1437664720735651,-1.3378918234719162,0.16869790052161893,-0.1172824278473854,0.06573672592639923,2.1658148765563965,0.24133813381195068,2.1486109082603106,0.36534240153368475,0.15017899605501817,0.0562065727264085,1.9098827838897705,2.394535541534424,0.055334705859422684,0.3073440305888653,0.11931555113252539,0.5118625518452283,-0.7179360162451532,-0.7725624848980877,-0.21246133744716644,0.41451162099838257,26.51314850484269,-54.903249475233046,11.36831275238725,30.546846209478208,-66.24184194421976,40.50973239388048,3.5345928949917678,8.472946295017593,21.35926482528021,28.512681178050993,34.96336394521507,38.838402782060626,47.703888968677894,61.946947677492865,72.23721972024946,0.0010500105191783178,0.0016976675151118238,0.0013280902819162235,0.0004969119727641702,8.309903236317312e-05,0.0001997902238470154,0.000886610966228031,0.002093543557822479,0.002488380572128103,0.00189225666498408,0.0009913203562833968,0.0005469782494045813,0.0016430633465492808,0.002481416601926036,0.0024923219059939704,0.0019116936951668667,0.0003200723449983126,0.0011367775256403325,0.002002587603337174,0.0023502095243206848,0.00019476853866577738,0.0007873717800186718,0.0015453515991838043,0.0019640802757858716,0.0001266952178940244,0.0005778332732401133,0.0012623636140494355,8.57535089985083e-05,0.0004402619585159486,0.0010835826547312846,5.8391940853194734e-05,0.00033460858474476505,3.935476002965912e-05,0.0002488466717515597,2.615662810482089e-05,1.716093301510195e-05
primary intermediate sulcus/1st segment of post. sup. temporal sulcus,7,2211.7987377,10.9248,3.9887999999999995,10.906451526623073,5.228842700459737,-0.7030842275200563,-0.9131379282421173,6.73934,14.7747,12.3014,4.342599999999999,12.179704197104886,5.6599201741911696,-0.6868318769726252,-0.9088227119175438,7.547725,16.35165,-1.7817,1.960401,-1.6646178201246733,2.7446408315099067,-0.9332248865996838,-0.5463126931027582,-3.55316,0.324077,-0.03019677847623825,0.09481117874383926,-0.049449953905924014,0.15646044821569544,-1.5051124988508613,0.8268237629441781,-0.13558723032474518,0.05803154036402702,2.319457769393921,0.2698705196380615,2.3386838739806555,0.3903488231028798,0.3217957858335562,0.24527481530321582,2.0565433502197266,2.5987203121185303,0.11304939538240433,0.30607060343027115,0.1504231015876653,0.48241028135299474,-0.8599822881250322,-0.6138020129317567,-0.16369018703699112,0.46042394638061523,46.077037773420265,-35.41773415678268,5.702449852582338,51.50280143210985,-50.00756502666754,24.970351614469674,3.5022354217327982,11.4332925074943,18.113359830270777,27.993193881317925,32.480629489076605,46.458281693478945,55.16539744041634,57.880123219343496,65.80473262623376,0.0002145032918675358,0.0004392434984944306,0.0005540052280381573,0.0005294825402388379,0.00037846324120759085,0.0001543144839908402,0.00017449493385460814,0.0005044419872546129,0.0008363989284010663,0.0010276945882658726,0.0010106665924192993,0.00011649029686965941,0.0004304077997460666,0.0008773309730029628,0.0012851679389130903,0.0014790858109656503,6.485362650900518e-05,0.00029305875362090294,0.0007172178218311646,0.0012444496663647417,3.1206860036908605e-05,0.00016692645382241963,0.0004783138900917382,0.0009649969062412551,1.3460810578641292e-05,8.32086720652128e-05,0.0002734483879128581,5.375370892988744e-06,3.771534602847087e-05,0.0001398824821762385,2.073676853457389e-06,1.627604577336194e-05,8.193192494428898e-07,7.097178863481546e-06,3.4437638488240375e-07,1.505200220828451e-07
sylvian fissure,8,824.0108737,8.2334,4.392569999999999,10.039325086787688,6.351440424878885,-0.09874373953120202,-1.1822178438405064,4.79165,14.93315,9.31289,4.53724,11.114383142822124,6.6128297777216964,-0.07874456498609857,-1.1593612635608375,5.65681,16.176,-1.37353,2.02761,-1.426076135764862,2.802670121084341,-0.8800388033774272,-0.5796487360441351,-3.48343,0.629805,0.008013105019927025,0.0874465424567461,-0.018952044630015083,0.15236821978827222,-1.4155032333835587,0.5896123336759729,-0.10550977289676666,0.07714594528079033,2.2579429149627686,0.31934213638305664,2.268330024365521,0.46270720917676444,0.3766499879460049,0.2482128863108839,1.9202687740325928,2.55601167678833,0.2373107671737671,0.42281489074230194,0.2230558117660161,0.6165096223172569,-0.9038820396502035,-0.5522368002014262,-0.21842339634895325,0.6377648413181305,50.08486553669618,-21.53279119385043,8.272393650852877,55.28702816000711,-35.816446883258045,20.563239207525164,6.385286814843138,9.91819752781258,13.008421652754548,31.48636175780029,34.38015684835757,40.75234124337147,55.23999391744356,71.24240382419603,79.02921509329303,0.0002752520279286264,0.0005901413335313133,0.0008174799993142931,0.00092382278558677,0.0009001061071068446,0.000763098137028448,0.0001142430933672384,0.0003591975489527045,0.0006808901255361429,0.0010088067774250886,0.0012704735649048805,3.621035618318429e-05,0.00014807283160472398,0.000351062554646366,0.000631932009247118,0.0009508928331132352,1.1709430904127105e-05,5.8032305590208116e-05,0.00016216936161181236,0.0003366986850493526,4.188389293285119e-06,2.4116840273871134e-05,7.658091220237808e-05,0.0001772902351719286,1.5864551799828213e-06,1.0411028041144641e-05,3.707499725542279e-05,5.960171669639151e-07,4.404185632360229e-06,1.7469786786317743e-05,2.1584606768458753e-07,1.7750791466421942e-06,7.527099326079443e-08,6.809725966387495e-07,2.57324245049094e-08,8.952230523899913e-09
lateral occipital sulcus,9,3452.5822624,7.23251,3.094550000000001,8.059910761795296,4.432747478936574,-0.03549898046291384,-0.9292350548856736,4.45643,10.9324,8.68898,3.6630199999999995,9.609489127847079,4.94098204578294,0.041706964053041806,-0.9543948397263158,5.525995,13.0951,-1.72924,1.5045499999999998,-1.640283137527867,2.4940897836417473,-0.6979837883891359,-0.22987532751606077,-3.2308125,-0.218941,-0.009816126897931099,0.09836346469819546,-0.022117006810525253,0.1541146196007869,-1.3413190848756875,0.32738548378443433,-0.11647943966090679,0.0821642056107521,2.203568458557129,0.2984236478805542,2.169722409249481,0.4517270291378212,0.12235122557315334,0.1546177458440825,1.871156930923462,2.4772372245788574,0.17915137112140656,0.2687256187200546,0.19194216503438416,0.4074114124033427,-0.7610220523339997,-0.33172268825710605,-0.08032184839248657,0.46297702193260193,34.471357846605606,-53.016910729414235,-14.822850140392525,39.782850556133305,-76.47532410868564,12.967714273332593,2.8518253313578477,14.09353146392486,17.526496388001068,28.462301676019635,37.89662805381123,41.968949166349674,57.55974071721227,64.68087013091662,68.40881382925855,0.0005377987001458647,0.0009231676905295683,0.0007855446246160164,0.000306833675289797,9.231409489200094e-05,0.0001815532734321661,0.000454116283926558,0.0011537949846113856,0.0014959119470554345,0.0012117003951369878,0.0006327310950894759,0.00028980930320559104,0.0009434258002967452,0.0015622183689336109,0.0016919642218265595,0.001367234784169365,0.00017935236705254683,0.0006864610441311474,0.0013299342500188382,0.0017076959212600955,0.00011596294527153523,0.0004907475586142295,0.0010469074308087545,0.0014818164320817841,8.099445533103938e-05,0.0003659305660772503,0.0008274482525139977,6.0674739403178756e-05,0.00029085802829375125,0.0006915863272317201,4.721957422494666e-05,0.0002415606929576398,3.715481278533754e-05,0.00020328178273112165,2.9181578342242177e-05,2.2802961074955997e-05
