name, ID, volume
ctx-lh-caudalanteriorcingulate, 1002, 3297.994
ctx-lh-caudalmiddlefrontal, 1003, 7710.985
ctx-lh-cuneus, 1005, 3698.993
ctx-lh-entorhinal, 1006, 2062.996
ctx-lh-fusiform, 1007, 12678.975
ctx-lh-inferiorparietal, 1008, 12871.975
ctx-lh-inferiortemporal, 1009, 11975.976
ctx-lh-isthmuscingulate, 1010, 2908.994
ctx-lh-lateraloccipital, 1011, 11897.977
ctx-lh-lateralorbitofrontal, 1012, 9464.981
ctx-lh-lingual, 1013, 6780.987
ctx-lh-medialorbitofrontal, 1014, 6169.988
ctx-lh-middletemporal, 1015, 14403.972
ctx-lh-parahippocampal, 1016, 1851.996
ctx-lh-paracentral, 1017, 4057.992
ctx-lh-parsopercularis, 1018, 4869.990
ctx-lh-parsorbitalis, 1019, 2043.996
ctx-lh-parstriangularis, 1020, 5281.990
ctx-lh-pericalcarine, 1021, 1963.996
ctx-lh-postcentral, 1022, 11678.977
ctx-lh-posteriorcingulate, 1023, 3868.992
ctx-lh-precentral, 1024, 13752.973
ctx-lh-precuneus, 1025, 10808.979
ctx-lh-rostralanteriorcingulate, 1026, 4269.992
ctx-lh-rostralmiddlefrontal, 1027, 12508.975
ctx-lh-superiorfrontal, 1028, 23349.954
ctx-lh-superiorparietal, 1029, 9447.981
ctx-lh-superiortemporal, 1030, 16979.967
ctx-lh-supramarginal, 1031, 11801.977
ctx-lh-transversetemporal, 1034, 1356.997
ctx-lh-insula, 1035, 6182.988
Left-Lateral-Ventricle, 4, 9506.981
Left-Inf-Lat-Vent, 5, 3.000
Left-Thalamus-Proper, 10, 8687.983
Left-Caudate, 11, 3027.994
Left-Putamen, 12, 4029.992
Left-Pallidum, 13, 1419.997
Left-Hippocampus, 17, 3276.994
Left-Amygdala, 18, 792.998
Left-Accumbens-area, 26, 302.999
Left-VentralDC, 28, 4964.990
Left-vessel, 30, 1.000
ctx-rh-caudalanteriorcingulate, 2002, 2544.995
ctx-rh-caudalmiddlefrontal, 2003, 5529.989
ctx-rh-cuneus, 2005, 3921.992
ctx-rh-entorhinal, 2006, 2538.995
ctx-rh-fusiform, 2007, 10553.979
ctx-rh-inferiorparietal, 2008, 14194.972
ctx-rh-inferiortemporal, 2009, 11559.977
ctx-rh-isthmuscingulate, 2010, 2579.995
ctx-rh-lateraloccipital, 2011, 14474.972
ctx-rh-lateralorbitofrontal, 2012, 9506.981
ctx-rh-lingual, 2013, 8323.984
ctx-rh-medialorbitofrontal, 2014, 5788.989
ctx-rh-middletemporal, 2015, 14386.972
ctx-rh-parahippocampal, 2016, 2095.996
ctx-rh-paracentral, 2017, 4738.991
ctx-rh-parsopercularis, 2018, 5956.988
ctx-rh-parsorbitalis, 2019, 2627.995
ctx-rh-parstriangularis, 2020, 4064.992
ctx-rh-pericalcarine, 2021, 2375.995
ctx-rh-postcentral, 2022, 10413.980
ctx-rh-posteriorcingulate, 2023, 3767.993
ctx-rh-precentral, 2024, 13413.974
ctx-rh-precuneus, 2025, 10990.978
ctx-rh-rostralanteriorcingulate, 2026, 3259.994
ctx-rh-rostralmiddlefrontal, 2027, 12735.975
ctx-rh-superiorfrontal, 2028, 28536.944
ctx-rh-superiorparietal, 2029, 10526.979
ctx-rh-superiortemporal, 2030, 16446.968
ctx-rh-supramarginal, 2031, 10488.979
ctx-rh-transversetemporal, 2034, 1046.998
ctx-rh-insula, 2035, 6149.988
Right-Lateral-Ventricle, 43, 10875.979
Right-Inf-Lat-Vent, 44, 79.000
Right-Thalamus-Proper, 49, 8454.983
Right-Caudate, 50, 3634.993
Right-Putamen, 51, 3638.993
Right-Pallidum, 52, 1369.997
Right-Hippocampus, 53, 3264.994
Right-Amygdala, 54, 663.999
Right-Accumbens-area, 58, 305.999
Right-VentralDC, 60, 4723.991
Left-Cerebellum-Cortex, 8, 51831.898
Right-Cerebellum-Cortex, 47, 52025.898
Left-Cerebellum-White-Matter, 7, 22066.957
Right-Cerebellum-White-Matter, 46, 14634.971
Brain-Stem, 16, 15545.969
CSF, 24, 880.998
